year,sex,source,scenario,region,ex_mean,ex_ll,ex_ul,ex_sd,lss_mean,lss_ll,lss_ul,lss_sd,case,ex_noc
2023,Males,B'Tselem historical average,NA,Palestine,48.96477227,46.96821785,50.86007194,1.046423297,27.35632773,25.46102806,29.35288215,1.046423297,lc_pcbs_2019,76.32109786
2023,Total,B'Tselem historical average,NA,Palestine,59.90447588,58.4723856,61.2519503,0.766312722,18.08051412,16.7330397,19.5126044,0.766312722,lc_pcbs_2019,77.98498956
2023,Females,UN-IGME pattern,Genocide,Palestine,63.45540449,61.95619558,64.91621733,0.811288983,16.22991551,14.76910267,17.72912442,0.811288983,lc_pcbs_2019,79.68532111
2023,Males,UN-IGME pattern,Genocide,Palestine,56.17826066,54.43204843,57.71520811,0.866244195,20.14283934,18.60589189,21.88905157,0.866244195,lc_pcbs_2019,76.32109786
2023,Total,UN-IGME pattern,Genocide,Palestine,59.58235542,58.0765194,60.91149611,0.778198267,18.40263458,17.07349389,19.9084706,0.778198267,lc_pcbs_2019,77.98498956
2023,Females,UN-IGME pattern,Conflict,Palestine,66.45508056,64.97207155,67.7265579,0.733452339,13.23023944,11.9587621,14.71324845,0.733452339,lc_pcbs_2019,79.68532111
2023,Males,UN-IGME pattern,Conflict,Palestine,53.97252898,52.36223844,55.62435564,0.902829014,22.34857102,20.69674436,23.95886156,0.902829014,lc_pcbs_2019,76.32109786
2023,Total,UN-IGME pattern,Conflict,Palestine,59.51732462,58.08540111,60.83650566,0.754513192,18.46766538,17.14848434,19.89958889,0.754513192,lc_pcbs_2019,77.98498956
2023,Females,UN-IGME pattern,Earthquake,Palestine,59.15681472,57.44636059,60.65240857,0.85520979,20.52850528,19.03291143,22.23895941,0.85520979,lc_pcbs_2019,79.68532111
2023,Males,UN-IGME pattern,Earthquake,Palestine,59.84441203,58.49120952,61.09126518,0.711381985,16.47668797,15.22983482,17.82989048,0.711381985,lc_pcbs_2019,76.32109786
2023,Total,UN-IGME pattern,Earthquake,Palestine,59.51579852,58.06430921,60.81849207,0.750431836,18.46919148,17.16649793,19.92068079,0.750431836,lc_pcbs_2019,77.98498956
2024,Females,GMoH report,NA,Palestine,64.35608787,63.03170335,65.57831302,0.708163556,15.42561213,14.20338698,16.74999665,0.708163556,lc_pcbs_2019,79.78170435
2024,Males,GMoH report,NA,Palestine,53.74543671,52.01928355,55.33828384,0.915228405,22.70347329,21.11062616,24.42962645,0.915228405,lc_pcbs_2019,76.44890622
2024,Total,GMoH report,NA,Palestine,58.54109546,56.98273224,59.98058933,0.833465223,19.55870454,18.11921067,21.11706776,0.833465223,lc_pcbs_2019,78.09980328
2024,Females,B'Tselem historical average,NA,Palestine,75.54139194,73.87623503,76.94449754,0.767858787,4.240308062,2.837202457,5.905464965,0.767858787,lc_pcbs_2019,79.78170435
2024,Males,B'Tselem historical average,NA,Palestine,47.5358446,45.31746468,49.6077849,1.14899355,28.9130654,26.8411251,31.13144532,1.14899355,lc_pcbs_2019,76.44890622
2024,Total,B'Tselem historical average,NA,Palestine,58.84573492,57.17321342,60.25890282,0.855628267,19.25406508,17.84089718,20.92658658,0.855628267,lc_pcbs_2019,78.09980328
2024,Females,UN-IGME pattern,Genocide,Palestine,61.98225461,60.30641629,63.51270464,0.85089516,17.79944539,16.26899536,19.47528371,0.85089516,lc_pcbs_2019,79.78170435
2024,Males,UN-IGME pattern,Genocide,Palestine,55.33201031,53.63114367,56.93771837,0.903495766,21.11689969,19.51119163,22.81776633,0.903495766,lc_pcbs_2019,76.44890622
2024,Total,UN-IGME pattern,Genocide,Palestine,58.46396285,56.95318286,59.84976898,0.807873962,19.63583715,18.25003102,21.14661714,0.807873962,lc_pcbs_2019,78.09980328
2024,Females,UN-IGME pattern,Conflict,Palestine,65.38789523,63.69313998,66.87809965,0.811412691,14.39380477,12.90360035,16.08856002,0.811412691,lc_pcbs_2019,79.78170435
2024,Males,UN-IGME pattern,Conflict,Palestine,53.05382098,51.09610162,54.76951091,0.993078905,23.39508902,21.67939909,25.35280838,0.993078905,lc_pcbs_2019,76.44890622
2024,Total,UN-IGME pattern,Conflict,Palestine,58.54526608,56.95164078,59.91105683,0.820356687,19.55453392,18.18874317,21.14815922,0.820356687,lc_pcbs_2019,78.09980328
2024,Females,UN-IGME pattern,Earthquake,Palestine,57.49411423,55.63842403,59.14106831,0.952849988,22.28758577,20.64063169,24.14327597,0.952849988,lc_pcbs_2019,79.78170435
2024,Males,UN-IGME pattern,Earthquake,Palestine,59.44651854,57.96132602,60.77419972,0.785017778,17.00239146,15.67471028,18.48758398,0.785017778,lc_pcbs_2019,76.44890622
2024,Total,UN-IGME pattern,Earthquake,Palestine,58.48102588,56.82867472,59.86132787,0.836633368,19.61877412,18.23847213,21.27112528,0.836633368,lc_pcbs_2019,78.09980328
2023,Females,BTselem,NA,West Bank,80.24088064,79.84224508,80.64723302,0.196956884,0,0,0.396719568,0.196956884,lc_pcbs_2019,80.23896465
2023,Males,BTselem,NA,West Bank,76.31238973,75.96276665,76.67009145,0.175947395,0.875987882,0.518286163,1.225610963,0.175947395,lc_pcbs_2019,77.18837761
2023,Total,BTselem,NA,West Bank,78.22381871,77.96435626,78.47978992,0.131429488,0.416992902,0.161021694,0.676455353,0.131429488,lc_pcbs_2019,78.64081161
2024,Females,BTselem,NA,West Bank,80.26221088,79.90121448,80.6317254,0.190169501,0.014325172,0,0.375321566,0.190169501,lc_pcbs_2019,80.27653605
2024,Males,BTselem,NA,West Bank,76.48156841,76.0940325,76.84751545,0.183629828,0.845468504,0.479521462,1.233004409,0.183629828,lc_pcbs_2019,77.32703691
2024,Total,BTselem,NA,West Bank,78.32105142,78.04814953,78.58412978,0.136100341,0.401812616,0.13873426,0.674714506,0.136100341,lc_pcbs_2019,78.72286404
