year,sex,scenario,pattern,region,ex_mean,ex_ll,ex_ul,ex_sd,lss_mean,lss_ll,lss_ul,lss_sd,source,ex_noc
2023,Females,GMoH report,NA,Gaza Strip,46.063783829508246,43.875628593811484,48.03042531805949,1.1351797081818602,32.16341617049174,30.19677468194051,34.35157140618851,1.1351797081818604,lc_pcbs_2019,78.22725261214651
2023,Males,GMoH report,NA,Gaza Strip,39.17683719830393,37.1585081515841,41.012408450358734,1.0845471934497684,35.77711280169608,33.941541549641265,37.7954418484159,1.0845471934497681,lc_pcbs_2019,74.95394953620976
2023,Total,GMoH report,NA,Gaza Strip,42.285894587687594,40.19016907745307,44.168846356379355,1.1069693590485137,34.38621541231241,32.50326364362065,36.48194092254693,1.1069693590485135,lc_pcbs_2019,76.67210752755615
2023,Females,B'Tselem historical average,NA,Gaza Strip,66.75229443038502,62.72528807471942,70.44872092967334,1.9615516995965758,11.474905569614979,7.778479070326688,15.50191192528058,1.9615516995965743,lc_pcbs_2019,78.22725261214651
2023,Males,B'Tselem historical average,NA,Gaza Strip,31.08548351552676,28.836672389762374,33.30919855434843,1.1801253134230338,43.868466484473245,41.64475144565157,46.11727761023763,1.1801253134230327,lc_pcbs_2019,74.95394953620976
2023,Total,B'Tselem historical average,NA,Gaza Strip,42.54993759865461,40.439931728365046,44.40101582521663,1.118823034820537,34.122172401345395,32.27109417478336,36.23217827163496,1.1188230348205372,lc_pcbs_2019,76.67210752755615
2023,Females,UN-IGME pattern,Genocide,Gaza Strip,46.856894168106116,44.62242828907834,49.132157631227514,1.2102351735190968,31.37030583189388,29.095042368772493,33.60477171092165,1.2102351735190968,lc_pcbs_2019,78.22725261214651
2023,Males,UN-IGME pattern,Genocide,Gaza Strip,38.56168341627425,36.42448848310538,40.56996194165488,1.1305834412254914,36.39226658372576,34.38398805834512,38.52946151689462,1.1305834412254927,lc_pcbs_2019,74.95394953620976
2023,Total,UN-IGME pattern,Genocide,Gaza Strip,42.30058572834051,40.35275394691225,44.198840793287246,1.0702010659574919,34.371524271659496,32.47326920671275,36.31935605308774,1.0702010659574925,lc_pcbs_2019,76.67210752755615
2023,Females,UN-IGME pattern,Conflict,Gaza Strip,52.534182051596105,50.055003374380114,54.833977184687285,1.2030209078090255,25.69301794840389,23.39322281531271,28.172196625619886,1.203020907809025,lc_pcbs_2019,78.22725261214651
