"x","n","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","ax","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X13.2","X14.2","X15.2","X16.2","X17.2","X18.2","lx","dx","Lx","Tx","ex","year","sex","scenario","bmmr_lss"
0,1,0.0443511,0.00683684,0.0178742,0.0143982,0.0129194,0.0200417,0.0208034,0.0231037,0.0289764,0.0285405,0.0228134,0.0232359,0.0273786,0.0455829,0.0567108,0.0815128,0.115407,0.247943,0.172913899731,0.042781771430611,0.0269784651013135,0.0855482343729285,0.0694896840768131,0.0625758925349596,0.0954271921097358,0.0988746763928238,0.109210578872272,0.135095543717556,0.133198612499869,0.107912379314374,0.109801177074062,0.128123401592873,0.204598964637108,0.248344466563961,0.338569608118413,0.447828609235032,1,0.957218228569389,0.973021534898686,0.914451765627072,0.930510315923187,0.93742410746504,0.904572807890264,0.901125323607176,0.890789421127728,0.864904456282444,0.866801387500131,0.892087620685626,0.890198822925938,0.871876598407127,0.795401035362892,0.751655533436039,0.661430391881586,0.552171390764968,0,100000,4278.1771430611,96461.5791504856,4016047.08053005,40.1604708053005,2024,"Total","UN-IGME report",34.5271391946995
0,1,0.0410821,0.00688835,0.018183,0.0162141,0.0148225,0.0169554,0.0189836,0.0237094,0.0279409,0.0295879,0.0218139,0.0249594,0.0289922,0.0397386,0.0563074,0.0703895,0.12292,0.22935,0.162256273241,0.0397152491986229,0.02717896357255,0.0869619281510726,0.077912305229448,0.0714643009962092,0.0813295618668088,0.0906173893202502,0.111913495428707,0.130582984706533,0.137750155439667,0.103429024031688,0.117467221574579,0.13516422909321,0.180737374431082,0.246795909950178,0.299281765430563,0.470129274076341,1,0.960284750801377,0.97282103642745,0.913038071848927,0.922087694770552,0.928535699003791,0.918670438133191,0.90938261067975,0.888086504571293,0.869417015293467,0.862249844560333,0.896570975968312,0.882532778425421,0.86483577090679,0.819262625568917,0.753204090049822,0.700718234569437,0.529870725923659,0,100000,3971.52491986229,96672.8799127183,4029145.42544131,40.2914542544131,2024,"Total","UN-IGME report",34.3961557455869
0,1,0.0471117,0.0056723,0.0171154,0.0144605,0.0125039,0.0190288,0.0205608,0.0207056,0.02801,0.0224849,0.0211965,0.0223959,0.0274741,0.0414553,0.0499735,0.0764565,0.108675,0.240753,0.181914035457,0.045363332716856,0.0224346874448136,0.0820655386974444,0.0697798704581015,0.0606243965208571,0.0908233515214229,0.097778014498736,0.0984327282546275,0.130884792411392,0.106441200620425,0.100648984500109,0.106042222474224,0.128541588835441,0.187811993649187,0.222117524698677,0.320938007981841,0.427286577873888,1,0.954636667283144,0.977565312555186,0.917934461302556,0.930220129541898,0.939375603479143,0.909176648478577,0.902221985501264,0.901567271745373,0.869115207588608,0.893558799379575,0.899351015499891,0.893957777525776,0.871458411164559,0.812188006350813,0.777882475301323,0.679061992018159,0.572713422126112,0,100000,4536.33327168559,96288.8894199446,4135865.73286975,41.3586573286975,2024,"Total","UN-IGME report",33.3289526713025
0,1,0.050511,0.00904296,0.0188426,0.0169497,0.0169392,0.0203765,0.0226772,0.0226974,0.0345052,0.0282713,0.0286242,0.0319284,0.0318344,0.0464922,0.062368,0.0919638,0.149098,0.252971,0.19299646731,0.0485326837865145,0.0355292606345052,0.0899746109875166,0.081303332272454,0.0812550127212793,0.0969440489656296,0.107302688671166,0.107393137502147,0.158825256866891,0.132025190574292,0.133563153923647,0.14784116997169,0.147437999381244,0.208255373778086,0.269776455118001,0.37386409325239,0.543065172337178,1,0.951467316213485,0.964470739365495,0.910025389012483,0.918696667727546,0.918744987278721,0.90305595103437,0.892697311328834,0.892606862497853,0.841174743133109,0.867974809425707,0.866436846076353,0.85215883002831,0.852562000618756,0.791744626221914,0.730223544881999,0.62613590674761,0.456934827662822,0,100000,4853.26837865145,96083.3952733356,3747804.19821448,37.4780419821448,2024,"Total","UN-IGME report",37.2095680178552
0,1,0.0419895,0.00832235,0.0136209,0.0180827,0.0143037,0.0184464,0.0204588,0.0238859,0.0302404,0.0279895,0.0234831,0.0275838,0.0260221,0.0436748,0.0568893,0.0817634,0.122754,0.245231,0.165214587795,0.0405675183385398,0.0327443796244647,0.0658617589198225,0.0865029813479486,0.0690493471335158,0.0881661307159053,0.0973165503968522,0.112699667528455,0.140574432340617,0.130795264837105,0.11090454377046,0.129021726267459,0.122163145996417,0.196877532823591,0.249028812887498,0.339433838269989,0.469643465186302,1,0.95943248166146,0.967255620375535,0.934138241080178,0.913497018652051,0.930950652866484,0.911833869284095,0.902683449603148,0.887300332471545,0.859425567659383,0.869204735162895,0.88909545622954,0.870978273732541,0.877836854003583,0.803122467176409,0.750971187112502,0.660566161730011,0.530356534813698,0,100000,4056.75183385398,96613.4827481628,4001272.73300956,40.0127273300956,2024,"Total","UN-IGME report",34.6748826699044
0,1,0.0493578,0.00834402,0.0177912,0.0151058,0.013982,0.018436,0.0199556,0.0231099,0.0304147,0.0245082,0.0240294,0.0262089,0.0293667,0.0402752,0.0581323,0.0827234,0.124255,0.266244,0.189236793138,0.0474586250322314,0.0328282410010449,0.0851679020525085,0.0727804815061606,0.0675488306254861,0.088118613121242,0.0950367134049409,0.109238285372193,0.141327422134978,0.115466320791919,0.113338367575456,0.122986169458216,0.136790766494002,0.182954661084703,0.253779530498068,0.342736233627788,0.474025045063948,1,0.952541374967769,0.967171758998955,0.914832097947491,0.927219518493839,0.932451169374514,0.911881386878758,0.904963286595059,0.890761714627807,0.858672577865022,0.884533679208081,0.886661632424544,0.877013830541784,0.863209233505998,0.817045338915297,0.746220469501932,0.657263766372212,0.525974954936052,0,100000,4745.86250322314,96152.2292975607,3972414.58908261,39.7241458908261,2024,"Total","UN-IGME report",34.9634641091739
0,1,0.049654,0.00594686,0.0182141,0.0168676,0.0150756,0.0198849,0.0240784,0.0233766,0.0321828,0.028567,0.0264448,0.0316035,0.0329599,0.0425934,0.0580799,0.0876375,0.122398,0.249438,0.19020246734,0.0477346064312851,0.0235078442823027,0.087104188978803,0.0809254545088177,0.0726402611957918,0.0947159566824146,0.113556361276594,0.110429343520639,0.148931424388014,0.133314044245124,0.124024492736223,0.146446912501868,0.152253823044582,0.19247191666211,0.25357977942276,0.359437081848709,0.468600568914889,1,0.952265393568715,0.976492155717697,0.912895811021197,0.919074545491182,0.927359738804208,0.905284043317585,0.886443638723406,0.889570656479361,0.851068575611986,0.866685955754876,0.875975507263777,0.853553087498132,0.847746176955418,0.80752808333789,0.74642022057724,0.640562918151291,0.531399431085111,0,100000,4773.46064312851,96134.4633489449,3846803.45928039,38.4680345928039,2024,"Total","UN-IGME report",36.2195754071961
0,1,0.045723,0.00628169,0.0172503,0.0161333,0.0152695,0.0183735,0.0191133,0.0247752,0.0287218,0.0263782,0.0248728,0.0254784,0.0265556,0.0476758,0.0569771,0.087848,0.120742,0.254422,0.17738658183,0.0440655894792953,0.0248149997287083,0.0826856205975166,0.077539096246323,0.073540194981813,0.0878330008951332,0.0912082723215894,0.116650877923193,0.133988054724532,0.123731466571227,0.117083512994948,0.119763541462974,0.124511786974547,0.212992527181501,0.249365230774146,0.360144963185254,0.463730599797981,1,0.955934410520705,0.975185000271292,0.917314379402483,0.922460903753677,0.926459805018187,0.912166999104867,0.908791727678411,0.883349122076807,0.866011945275468,0.876268533428773,0.882916487005052,0.880236458537026,0.875488213025453,0.787007472818499,0.750634769225854,0.639855036814746,0.536269400202019,0,100000,4406.55894792953,96375.1054814761,3986864.07229572,39.8686407229572,2024,"Total","UN-IGME report",34.8189692770428
0,1,0.0468349,0.00751754,0.0158673,0.0168773,0.0152519,0.0191148,0.0246276,0.0254616,0.0340219,0.0295244,0.0252651,0.0281719,0.0311479,0.0500531,0.0615556,0.0746403,0.137281,0.234534,0.181011609329,0.0451048042271507,0.0296247495209722,0.0763094381308653,0.0809701079910084,0.0734585440789073,0.0912151038331264,0.115996228224449,0.119689297459512,0.156775038310279,0.137474844269615,0.118820472218388,0.13159154068728,0.144488237099149,0.222431975249143,0.266731028721134,0.31451311656427,0.511021234698417,1,0.954895195772849,0.970375250479028,0.923690561869135,0.919029892008992,0.926541455921093,0.908784896166874,0.884003771775551,0.880310702540488,0.843224961689721,0.862525155730385,0.881179527781612,0.86840845931272,0.855511762900851,0.777568024750857,0.733268971278866,0.68548688343573,0.488978765301583,0,100000,4510.48042271507,96305.9688974475,3852651.68551512,38.5265168551512,2024,"Total","UN-IGME report",36.1610931448488
0,1,0.0481274,0.00665337,0.0194168,0.0165645,0.0156979,0.0196609,0.023717,0.0253147,0.0292852,0.0296504,0.0248388,0.0249298,0.0353296,0.050742,0.0606663,0.0871981,0.116494,0.243191,0.185225430754,0.0463113922284918,0.0262639918885766,0.0925895195423741,0.0795291005354513,0.0755255198546829,0.0936989841083599,0.111947361092427,0.119039854488923,0.136437035332222,0.138021051533991,0.116932822519977,0.117336087043083,0.162311958571161,0.225148754719995,0.263385014271719,0.357957471509023,0.451095269257726,1,0.953688607771508,0.973736008111423,0.907410480457626,0.920470899464549,0.924474480145317,0.90630101589164,0.888052638907573,0.880960145511077,0.863562964667778,0.861978948466009,0.883067177480023,0.882663912956917,0.837688041428839,0.774851245280005,0.736614985728281,0.642042528490977,0.548904730742274,0,100000,4631.13922284917,96226.6655345848,3831545.07777266,38.3154507777266,2024,"Total","UN-IGME report",36.3721592222734
0,1,0.0491046,0.00760286,0.0154995,0.0150504,0.0138234,0.0166671,0.0180336,0.0231776,0.027698,0.0269354,0.0243499,0.0251864,0.0300305,0.0441211,0.0538733,0.0743549,0.116311,0.251991,0.188411307966,0.0472226481706861,0.0299559383885268,0.0746065879742334,0.0725232405510271,0.0668082085256658,0.0800019967979233,0.0862782321803798,0.109540769643762,0.129521297738124,0.126180213681039,0.114763312068649,0.118472274748205,0.139666837584776,0.198689501579637,0.23739356335788,0.313499027837596,0.450546279277412,1,0.952777351829314,0.970044061611473,0.925393412025767,0.927476759448973,0.933191791474334,0.919998003202077,0.91372176781962,0.890459230356238,0.870478702261876,0.873819786318961,0.885236687931351,0.881527725251795,0.860333162415224,0.801310498420363,0.76260643664212,0.686500972162404,0.549453720722588,0,100000,4722.26481706862,96167.4632736771,4071522.60386236,40.7152260386236,2024,"Total","UN-IGME report",33.9723839613764
0,1,0.0390198,0.00736181,0.0157885,0.0179453,0.0147185,0.0161792,0.0198114,0.0237048,0.0288838,0.0262332,0.0200613,0.0226278,0.0266607,0.0420569,0.053166,0.0727802,0.108229,0.249574,0.155532742158,0.0377750756173399,0.0290199611200536,0.0759448613898653,0.0858739169934439,0.0709806772545715,0.0777511225933444,0.0943823821839998,0.111892997199937,0.134692893506353,0.123093179977533,0.09551605920374,0.107081455597573,0.12497377893019,0.190278219840025,0.234642493037871,0.307881759853733,0.425906431943081,1,0.96222492438266,0.970980038879946,0.924055138610135,0.914126083006556,0.929019322745429,0.922248877406656,0.905617617816,0.888107002800063,0.865307106493647,0.876906820022467,0.90448394079626,0.892918544402427,0.87502622106981,0.809721780159975,0.765357506962129,0.692118240146267,0.574093568056919,0,100000,3777.50756173399,96810.0185478651,4077167.91398914,40.7716791398914,2024,"Total","UN-IGME report",33.9159308601086
0,1,0.0517663,0.00621196,0.0167467,0.0158191,0.0174193,0.0193694,0.0211056,0.0269895,0.0305967,0.0276784,0.0255863,0.0289702,0.0337215,0.0472494,0.0626341,0.0772458,0.130519,0.258923,0.197089008923,0.0497005593104716,0.0245429207164525,0.0803687227757292,0.0760864520172354,0.0834618811348685,0.0923739309544282,0.100238989935066,0.126417628536533,0.142113025947482,0.129435575890669,0.120240242695782,0.135068589846101,0.155498401624084,0.211288824535036,0.270771653019092,0.323714949403431,0.492042697811012,1,0.950299440689528,0.975457079283548,0.919631277224271,0.923913547982765,0.916538118865132,0.907626069045572,0.899761010064934,0.873582371463467,0.857886974052518,0.870564424109331,0.879759757304218,0.864931410153899,0.844501598375916,0.788711175464964,0.729228346980908,0.676285050596569,0.507957302188988,0,100000,4970.05593104717,96009.4874666948,3864048.81254441,38.6404881254441,2024,"Total","UN-IGME report",36.0471218745559
0,1,0.049788,0.00667125,0.0175059,0.016316,0.0144497,0.0186934,0.0216254,0.0263567,0.0356491,0.0334021,0.0261205,0.0285636,0.0308805,0.0444052,0.0600356,0.0784475,0.138246,0.227542,0.19063933548,0.0478594347400691,0.0263336433634235,0.0838594137232552,0.0783827669366539,0.0697295715258088,0.0892939797952392,0.102581106356496,0.123636851490782,0.163659697678705,0.154139077775581,0.122596777202693,0.133299234932691,0.143336725611858,0.199841045964359,0.261004148374604,0.327925216455306,0.513690765932306,1,0.952140565259931,0.973666356636577,0.916140586276745,0.921617233063346,0.930270428474191,0.910706020204761,0.897418893643504,0.876363148509218,0.836340302321295,0.845860922224419,0.877403222797307,0.866700765067309,0.856663274388142,0.800158954035641,0.738995851625396,0.672074783544694,0.486309234067694,0,100000,4785.94347400691,96126.4456095226,3845669.32088643,38.4566932088643,2024,"Total","UN-IGME report",36.2309167911357
0,1,0.0430028,0.00658145,0.0185863,0.0164647,0.0148204,0.0177421,0.0187019,0.0253711,0.0281614,0.0245472,0.0220825,0.0255443,0.0268112,0.0387955,0.0500584,0.0700883,0.109236,0.240012,0.168518158588,0.0415182707461464,0.0259837781268935,0.0888051042282081,0.079068886270553,0.0714545379156859,0.0849428391344803,0.0893327687311665,0.119289251197366,0.131545720842654,0.115639438912799,0.104635942025552,0.120054715807496,0.125634941163681,0.176827246405216,0.222452908333674,0.298192063065599,0.429019158111367,1,0.958481729253854,0.974016221873106,0.911194895771792,0.920931113729447,0.928545462084314,0.91505716086552,0.910667231268834,0.880710748802634,0.868454279157346,0.884360561087201,0.895364057974448,0.879945284192504,0.874365058836319,0.823172753594784,0.777547091666326,0.701807936934401,0.570980841888633,0,100000,4151.82707461463,96547.8311787752,4033483.58672655,40.3348358672655,2024,"Total","UN-IGME report",34.3527741327345
0,1,0.0424044,0.00757599,0.0189277,0.0171292,0.0164724,0.0193997,0.021128,0.0294391,0.0357835,0.0281654,0.0300769,0.0317745,0.0317558,0.0488248,0.0606865,0.0830071,0.132365,0.261535,0.166567248924,0.0409569322218989,0.0298516484201705,0.0903626091089226,0.0821289902505027,0.0791044016362189,0.0925117495315328,0.100340039132995,0.13710488867921,0.164226043436707,0.131563176286547,0.139867544618183,0.147180993782634,0.147100745375048,0.217567300202663,0.263461160680853,0.343709647332306,0.497271608764663,1,0.959043067778101,0.970148351579829,0.909637390891077,0.917871009749497,0.920895598363781,0.907488250468467,0.899659960867005,0.86289511132079,0.835773956563293,0.868436823713453,0.860132455381817,0.852819006217366,0.852899254624952,0.782432699797337,0.736538839319147,0.656290352667694,0.502728391235337,0,100000,4095.69322218989,96586.515130267,3770659.68431635,37.7065968431635,2024,"Total","UN-IGME report",36.9810131568365
0,1,0.0427673,0.0076069,0.0201428,0.0172625,0.016186,0.0176101,0.0219395,0.0233356,0.0286485,0.0325364,0.026362,0.0281156,0.030199,0.045652,0.0680833,0.0821215,0.120377,0.285873,0.167750379133,0.0412973988253939,0.0299716178010977,0.0958854941700774,0.0827416793984602,0.0777825299265232,0.0843375196145879,0.103993582018275,0.110246338838501,0.133668961865025,0.15044467933797,0.123660176094492,0.131345832761058,0.140395491388869,0.204877348244819,0.290902495346448,0.340667238445081,0.462653038085849,1,0.958702601174606,0.970028382198902,0.904114505829923,0.91725832060154,0.922217470073477,0.915662480385412,0.896006417981725,0.889753661161499,0.866331038134975,0.84955532066203,0.876339823905508,0.868654167238942,0.859604508611131,0.795122651755181,0.709097504653552,0.659332761554919,0.537346961914151,0,100000,4129.73988253939,96563.0255484773,3845624.22138622,38.4562422138622,2024,"Total","UN-IGME report",36.2313677861378
0,1,0.0427222,0.00795617,0.015826,0.0162487,0.0174437,0.0170638,0.0230618,0.029453,0.0270642,0.0267985,0.0226884,0.0271508,0.0275481,0.0413798,0.0572062,0.088245,0.127719,0.265162,0.167603343662,0.0412550939230483,0.0313262067473263,0.0761183764362979,0.0780720756605366,0.0835739046966094,0.0818282478603993,0.109023315269779,0.137165184548717,0.126745346484205,0.125579166749649,0.107352839585851,0.127125127706655,0.128865500747167,0.187502010739957,0.250242450780414,0.361478356153161,0.48404169643314,1,0.958744906076952,0.968673793252674,0.923881623563702,0.921927924339463,0.916426095303391,0.918171752139601,0.890976684730221,0.862834815451283,0.873254653515795,0.874420833250351,0.892647160414149,0.872874872293345,0.871134499252833,0.812497989260043,0.749757549219586,0.638521643846839,0.51595830356686,0,100000,4125.50939230483,96565.9397761545,3929862.15513989,39.2986215513989,2024,"Total","UN-IGME report",35.3889884486011
0,1,0.0418353,0.00678134,0.0160827,0.0138541,0.0166426,0.0172906,0.020791,0.0222712,0.0319883,0.0265712,0.0249298,0.0284034,0.0278466,0.0402234,0.0499043,0.0786595,0.119908,0.256175,0.164711863413,0.0404227461435739,0.0267623902648034,0.0773053049309668,0.0669516141074838,0.0798890943940922,0.0828707859702567,0.0988186534407818,0.105482921875799,0.148097992468778,0.124580374858875,0.117336087043083,0.132601188505974,0.130170953795122,0.182740853848296,0.221844067727292,0.328665784341479,0.46126622402425,1,0.959577253856426,0.973237609735197,0.922694695069033,0.933048385892516,0.920110905605908,0.917129214029743,0.901181346559218,0.894517078124201,0.851902007531222,0.875419625141125,0.882663912956917,0.867398811494026,0.869829046204878,0.817259146151704,0.778155932272708,0.671334215658521,0.53873377597575,0,100000,4042.27461435739,96623.5359698005,4034199.80431291,40.3419980431291,2024,"Total","UN-IGME report",34.3456119568709
