"","region","cause","year","sex","age","mx_m","mx_l","mx_u"
"61","Gaza Strip","noconflict","24","m",25,0.00077109045,0.000771000000000001,0.000771100000000004
"62","Gaza Strip","noconflict","24","m",30,0.00067895735,0.000678899999999996,0.000679000000000006
"63","Gaza Strip","noconflict","24","m",35,0.0011020025,0.001102,0.00110200250000001
"64","Gaza Strip","noconflict","24","m",40,0.001428516475,0.0014285,0.0014286
"65","Gaza Strip","noconflict","24","m",45,0.001931822925,0.0019318,0.0019319
"66","Gaza Strip","noconflict","24","m",50,0.00428484565,0.0042848,0.0042849
"67","Gaza Strip","noconflict","24","m",55,0.0069260341,0.006926,0.0069261
"68","Gaza Strip","noconflict","24","m",60,0.01511721255,0.0151172,0.0151173
"69","Gaza Strip","noconflict","24","m",65,0.019412128525,0.0194121,0.0194122
"70","Gaza Strip","noconflict","24","m",70,0.039673291,0.0396728,0.0396737
"71","Gaza Strip","noconflict","24","m",75,0.03331891575,0.0333185,0.0333194
"72","Gaza Strip","noconflict","24","m",80,0.209102566075,0.2091021,0.209103
"73","Gaza Strip","noconflict","23_24","f",0,0.011910493525,0.0119104,0.0119105
"74","Gaza Strip","noconflict","23_24","f",1,0.00054152985,0.000541499999999997,0.0005416
"75","Gaza Strip","noconflict","23_24","f",5,0.00026491375,0.000264899999999998,0.000265000000000001
"76","Gaza Strip","noconflict","23_24","f",10,0.0002041286,0.000204099999999999,0.000204200000000002
"77","Gaza Strip","noconflict","23_24","f",15,0.000198983665514652,0.000198981615514651,0.000198981615514655
"78","Gaza Strip","noconflict","23_24","f",20,0.000319222399135845,0.000319176199135845,0.000319276199135848
"79","Gaza Strip","noconflict","23_24","f",25,0.000308612086982058,0.000308542886982057,0.00030864288698206
"80","Gaza Strip","noconflict","23_24","f",30,0.000410575424942538,0.000410553624942537,0.00041065362494254
"81","Gaza Strip","noconflict","23_24","f",35,0.000788207980128548,0.000788196755128546,0.000788296755128549
"82","Gaza Strip","noconflict","23_24","f",40,0.000875944404474268,0.000875890529474267,0.00087599052947427
"83","Gaza Strip","noconflict","23_24","f",45,0.00131386614461739,0.00131381844461738,0.00131391844461739
"84","Gaza Strip","noconflict","23_24","f",50,0.0025504971173023,0.0025504918923023,0.0025505918923023
"85","Gaza Strip","noconflict","23_24","f",55,0.00478099828671454,0.00478093758671453,0.00478103758671454
"86","Gaza Strip","noconflict","23_24","f",60,0.00771625293585774,0.00771622516085773,0.00771632516085774
"87","Gaza Strip","noconflict","23_24","f",65,0.0163245345588513,0.0163245203588513,0.0163246203588513
"88","Gaza Strip","noconflict","23_24","f",70,0.033029182875,0.0330288,0.0330295025
"89","Gaza Strip","noconflict","23_24","f",75,0.04365926505,0.0436588,0.0436597
"90","Gaza Strip","noconflict","23_24","f",80,0.1400684058,0.140068,0.140069
"91","Gaza Strip","noconflict","23_24","m",0,0.013378095842379,0.013378082742379,0.013378182742379
"92","Gaza Strip","noconflict","23_24","m",1,0.00058287842891636,0.000582841303916358,0.000582941303916361
