year,sex,scenario,pattern,region,ex_mean,ex_ll,ex_ul,ex_sd,lss_mean,lss_ll,lss_ul,lss_sd,source,ex_noc
2023,Females,GMoH report,NA,Gaza Strip,44.303793569921204,40.61215535214649,47.62257110109448,1.8898780732878722,33.923406430078785,30.60462889890553,37.615044647853516,1.8898780732878717,lc_pcbs_2019,78.22725261214651
2023,Males,GMoH report,NA,Gaza Strip,40.57742552177523,38.210739709505354,42.81667445761927,1.2466954702559172,34.37652447822477,32.13727554238073,36.74321029049466,1.2466954702559165,lc_pcbs_2019,74.95394953620976
2023,Total,GMoH report,NA,Gaza Strip,42.31167121985439,39.36903793110659,45.02117823056746,1.534293857432509,34.36043878014561,31.650931769432546,37.30307206889341,1.5342938574325093,lc_pcbs_2019,76.67210752755615
2023,Females,B'Tselem historical average,NA,Gaza Strip,65.75689196440788,60.52814866611016,69.88285591128219,2.3999665663643728,12.470308035592117,8.344344088717852,17.699051333889834,2.3999665663643737,lc_pcbs_2019,78.22725261214651
2023,Males,B'Tselem historical average,NA,Gaza Strip,31.55157961733162,29.126093425153417,33.81049966185124,1.2247712523914158,43.40237038266839,41.14345033814876,45.827856574846585,1.2247712523914154,lc_pcbs_2019,74.95394953620976
2023,Total,B'Tselem historical average,NA,Gaza Strip,42.78254563854989,40.20508403307658,44.984162975800636,1.3205220529761257,33.88956436145011,31.687947024199357,36.46702596692342,1.3205220529761266,lc_pcbs_2019,76.67210752755615
2023,Females,UN-IGME report,Genocide,Gaza Strip,45.03962815453059,41.51434217897027,48.48161494613389,1.9615302519462074,33.18757184546941,29.745585053866108,36.712857821029736,1.9615302519462077,lc_pcbs_2019,78.22725261214651
2023,Males,UN-IGME report,Genocide,Gaza Strip,40.003025219102184,37.37325599577873,42.41564919744567,1.3405336803383794,34.95092478089782,32.538300802554325,37.580694004221264,1.3405336803383787,lc_pcbs_2019,74.95394953620976
2023,Total,UN-IGME report,Genocide,Gaza Strip,42.3387870471199,39.50319128246815,45.03709545754521,1.5538423292283194,34.3333229528801,31.635014542454787,37.16891871753185,1.5538423292283199,lc_pcbs_2019,76.67210752755615
2023,Females,UN-IGME report,Conflict,Gaza Strip,49.873921866930694,45.88403386620612,53.421818395990655,2.0267834085225767,28.353278133069306,24.80538160400934,32.34316613379388,2.026783408522577,lc_pcbs_2019,78.22725261214651
2023,Males,UN-IGME report,Conflict,Gaza Strip,37.67489412144472,35.28319168934912,39.91414350670027,1.2360439061362989,37.27905587855528,35.039806493299736,39.670758310650875,1.2360439061362996,lc_pcbs_2019,74.95394953620976
2023,Total,UN-IGME report,Conflict,Gaza Strip,42.717642298290116,39.90588089517838,45.27453324766184,1.4510202130187222,33.95446770170989,31.397576752338153,36.76622910482162,1.4510202130187217,lc_pcbs_2019,76.67210752755615
2023,Females,UN-IGME report,Earthquake,Gaza Strip,38.9504334106582,35.440890754548704,42.29945799506505,1.8684802765249575,39.2767665893418,35.927742004934956,42.7863092454513,1.8684802765249569,lc_pcbs_2019,78.22725261214651
2023,Males,UN-IGME report,Earthquake,Gaza Strip,45.585667072044025,43.30780283746941,47.762381044268004,1.2075738371495714,29.36828292795598,27.191568955731995,31.64614716253059,1.2075738371495706,lc_pcbs_2019,74.95394953620976
2023,Total,UN-IGME report,Earthquake,Gaza Strip,42.09735285279574,39.04142640407171,44.89361595173667,1.5552936710676701,34.57475714720427,31.778494048263333,37.63068359592829,1.5552936710676701,lc_pcbs_2019,76.67210752755615
2024,Females,GMoH report,NA,Gaza Strip,45.908277406553026,42.246734494802475,49.087878062263805,1.915997749224128,32.385082593446974,29.205481937736188,36.046625505197525,1.915997749224129,lc_pcbs_2019,78.29336499713114
2024,Males,GMoH report,NA,Gaza Strip,36.204247749521016,33.87174559447177,38.410094258635006,1.261780243034178,38.85817225047899,36.65232574136509,41.190674405528235,1.2617802430341774,lc_pcbs_2019,75.06241897178627
2024,Total,GMoH report,NA,Gaza Strip,40.364058011100596,37.47418255460843,42.99638879148211,1.5397858139107763,36.4073219888994,33.77499120851789,39.29719744539156,1.5397858139107763,lc_pcbs_2019,76.7713803605185
2024,Females,B'Tselem historical average,NA,Gaza Strip,64.46037629378165,58.8558020964926,68.87044514243031,2.616421345192657,13.832983706218362,9.422914857569685,19.4375579035074,2.616421345192657,lc_pcbs_2019,78.29336499713114
2024,Males,B'Tselem historical average,NA,Gaza Strip,29.23342733537368,26.747644107478052,31.55541270111432,1.2601956870956543,45.82899266462633,43.50700729888568,48.31477589252195,1.2601956870956539,lc_pcbs_2019,75.06241897178627
2024,Total,B'Tselem historical average,NA,Gaza Strip,40.316781502686034,37.58844809715488,42.73480898570415,1.4130712163005785,36.45459849731396,34.03657101429585,39.18293190284512,1.4130712163005787,lc_pcbs_2019,76.7713803605185
2024,Females,UN-IGME report,Genocide,Gaza Strip,42.25227330647827,38.40064477297372,45.82143192128938,1.9883957164197406,36.041086693521734,32.47192807871061,39.89271522702629,1.9883957164197397,lc_pcbs_2019,78.29336499713114
2024,Males,UN-IGME report,Genocide,Gaza Strip,37.91460078478391,35.32293769026728,40.27009416537662,1.388502424992644,37.147819215216096,34.792325834623384,39.73948230973272,1.3885024249926445,lc_pcbs_2019,75.06241897178627
2024,Total,UN-IGME report,Genocide,Gaza Strip,39.95123449189463,36.822513377490054,42.62918336365639,1.592090890188278,36.82014550810536,34.14219663634361,39.94886662250995,1.5920908901882767,lc_pcbs_2019,76.7713803605185
2024,Females,UN-IGME report,Conflict,Gaza Strip,47.28870141557755,43.23207729456326,51.103837192881414,2.1442456054881087,31.004658584422454,27.189522807118678,35.06128270543674,2.1442456054881087,lc_pcbs_2019,78.29336499713114
2024,Males,UN-IGME report,Conflict,Gaza Strip,35.53493037528705,33.146061450475905,37.83543920810772,1.314536885460805,39.527489624712956,37.22698079189228,41.916358549524084,1.314536885460806,lc_pcbs_2019,75.06241897178627
2024,Total,UN-IGME report,Conflict,Gaza Strip,40.39340466361225,37.536330236138994,43.03285194044305,1.551412929384112,36.37797533638774,33.73852805955694,39.235049763861,1.5514129293841108,lc_pcbs_2019,76.7713803605185
2024,Females,UN-IGME report,Earthquake,Gaza Strip,36.0263770028747,32.22217762410274,39.4994871041533,1.9829670667690313,42.266982997125304,38.7938728958467,46.07118237589726,1.9829670667690327,lc_pcbs_2019,78.29336499713114
2024,Males,UN-IGME report,Earthquake,Gaza Strip,44.06602902230224,41.60173810748861,46.401858660752,1.3280422374906438,30.996390977697768,28.6605613392481,33.4606818925114,1.3280422374906449,lc_pcbs_2019,75.06241897178627
2024,Total,UN-IGME report,Earthquake,Gaza Strip,39.72767857705003,36.55603897038626,42.593156866657566,1.6860627434029425,37.043701422949965,34.17822313334243,40.21534102961374,1.686062743402943,lc_pcbs_2019,76.7713803605185
2023,Females,GMoH report,NA,Palestine,61.59423556808409,58.90780661840981,63.85673087771821,1.3806760623657108,18.091084431915917,15.828589122281787,20.777513381590193,1.3806760623657115,lc_pcbs_2019,79.68532111384668
2023,Males,GMoH report,NA,Palestine,57.42819195654203,55.61087072810995,59.07155866203881,0.9615894100949222,18.892908043457975,17.24954133796118,20.71022927189004,0.9615894100949216,lc_pcbs_2019,76.32109786135408
2023,Total,GMoH report,NA,Palestine,59.41747889852676,57.20937425918283,61.34985257301193,1.1517389896603778,18.567511101473237,16.635137426988067,20.775615740817173,1.1517389896603778,lc_pcbs_2019,77.98498955680411
2024,Females,GMoH report,NA,Palestine,62.957260904754904,60.28379899485282,65.09541987885326,1.3423215327306575,16.824439095245097,14.686280121146746,19.497901005147178,1.342321532730657,lc_pcbs_2019,79.7817043533006
2024,Males,GMoH report,NA,Palestine,54.53143112625437,52.41334879061339,56.35190582001276,1.1049671515486723,21.917478873745633,20.09700417998724,24.035561209386604,1.1049671515486725,lc_pcbs_2019,76.44890622089066
2024,Total,GMoH report,NA,Palestine,58.40577435849832,56.06115336871308,60.36716339045108,1.2101393589737806,19.69402564150168,17.732636609548912,22.03864663128692,1.2101393589737803,lc_pcbs_2019,78.09980328433261
2023,Females,BTselem,NA,West Bank,80.22898506431623,79.86007947134671,80.6194275830494,0.1977850351697348,0.009979581776468578,0,0.3788851747459822,0.1977850351697348,lc_pcbs_2019,80.2389646460927
2023,Males,BTselem,NA,West Bank,76.25505966584753,75.86320324118306,76.63010101693999,0.18544304619038837,0.9333179459352877,0.5582765948428261,1.325174370599754,0.18544304619038837,lc_pcbs_2019,77.18837761178281
2023,Total,BTselem,NA,West Bank,78.18732512649488,77.9266226581017,78.4496303087062,0.1335244673640721,0.45348648371951794,0.1911813015082,0.7141889521126845,0.1335244673640721,lc_pcbs_2019,78.6408116102144
2024,Females,BTselem,NA,West Bank,80.2501877951828,79.91154972236957,80.6283258318675,0.18528674046441215,0.026348254570399476,0,0.3649863273836092,0.18528674046441215,lc_pcbs_2019,80.27653604975319
2024,Males,BTselem,NA,West Bank,76.39391332561142,76.06248888383091,76.73722213603416,0.17885020400028492,0.933123588169146,0.5898147777464037,1.2645480299496688,0.17885020400028492,lc_pcbs_2019,77.32703691378057
2024,Total,BTselem,NA,West Bank,78.26891626499132,78.0156776258943,78.52345402547444,0.13496391102274685,0.4539477704722732,0.199410009989149,0.7071864095692908,0.13496391102274685,lc_pcbs_2019,78.72286403546359
2023.5,Females,GMoH report,NA,Gaza Strip,34.33281052312233,30.861321971910108,37.54435905092021,1.881821180560244,43.92679947687766,40.71525094907979,47.398288028089894,1.8818211805602447,NA,NA
2023.5,Males,GMoH report,NA,Gaza Strip,26.08416680885528,24.242491519213473,27.905474502242818,1.0259458964244892,48.92149319114473,47.10018549775718,50.76316848078652,1.0259458964244899,NA,NA
2023.5,Total,GMoH report,NA,Gaza Strip,29.29359261721733,26.824839932273772,31.691603884841022,1.3684691728078278,47.426407382782664,45.028396115158976,49.89516006772623,1.3684691728078282,NA,NA
2023.5,Females,GMoH report,NA,Palestine,53.59296373900158,50.308053990879145,56.65541206272369,1.715159254034269,26.14071626099842,23.078267937276312,29.42562600912085,1.7151592540342693,NA,NA
2023.5,Males,GMoH report,NA,Palestine,43.67233465620414,41.31778322005617,45.97511594293839,1.260917521573454,32.712275343795845,30.409494057061618,35.066826779943824,1.2609175215734552,NA,NA
2023.5,Total,GMoH report,NA,Palestine,48.03452118162068,45.24331625025622,50.67286261128853,1.4611901539051733,30.00779881837932,27.36945738871147,32.799003749743775,1.461190153905173,NA,NA
2023.5,Females,BTselem,NA,West Bank,80.23907781873015,79.87919900730438,80.59998095492344,0.19158311149707996,0.019123365609116108,0,0.3790021770348932,0.19158311149707996,NA,NA
2023.5,Males,BTselem,NA,West Bank,75.86973192819308,75.50285561721645,76.24713563341874,0.1948769525301904,1.3890549218035049,1.01165121657785,1.7559312327801235,0.1948769525301904,NA,NA
