"","region","cause","year","sex","age","dx_m","dx_l","dx_u","pop","mx_m","mx_l","mx_u"
"53","Gaza Strip","all","23","t",75,826.461182997196,745.439082267911,933.627226430624,12133.4807024364,0.0681141053639489,0.0614365408038458,0.0769463643060931
"54","Gaza Strip","all","23","t",80,1588.8357744982,1502.33325966604,1702.78711995841,7501.91775379289,0.211790614965741,0.200259894732448,0.226980243698019
"55","Gaza Strip","conflict","23","f",0,416.627332062841,337.470174646226,511.914630593025,33771.1815893293,0.0123367709525,0.00999284475,0.0151583275
"56","Gaza Strip","conflict","23","f",1,1942.55886448945,1654.37947844971,2294.00657364699,133076.47676379,0.0145973121,0.012431795,0.0172382575
"57","Gaza Strip","conflict","23","f",5,2428.83700851541,2078.28077114724,2864.39127213334,141219.019669277,0.017199078525,0.01471672,0.020283325
"58","Gaza Strip","conflict","23","f",10,2106.48680326567,1790.38981652304,2488.03162144791,136413.095131458,0.015441969125,0.013124765,0.01823895
"59","Gaza Strip","conflict","23","f",15,1095.49837382495,963.034044409498,1244.48540496836,117745.30053725,0.0093039668575,0.0081789595,0.0105693
"60","Gaza Strip","conflict","23","f",20,1018.76437999659,895.599523793211,1159.52778183786,95352.4136524491,0.01068420128,0.00939252075,0.012160445
"61","Gaza Strip","conflict","23","f",25,1113.85086240852,980.623180295262,1263.945403635,94173.1324618342,0.011827692605,0.0104129825,0.0134215075
"62","Gaza Strip","conflict","23","f",30,1740.06992901277,1477.45396772813,2055.71279243421,87596.690949135,0.01986456235,0.01686655,0.0234679275
"63","Gaza Strip","conflict","23","f",35,1120.51570521278,938.247335894567,1344.93234806369,66414.3870212199,0.016871580925,0.01412717,0.0202506175
"64","Gaza Strip","conflict","23","f",40,870.508704275832,728.052320428582,1041.31773351212,50872.2208847659,0.01711167095,0.0143113925,0.02046928
"65","Gaza Strip","conflict","23","f",45,754.314753477372,572.610419372257,1003.44174774959,41994.6524437188,0.017962162075,0.0136353175,0.0238945125
"66","Gaza Strip","conflict","23","f",50,729.208584324347,554.615367865043,972.3062156927,31771.8498306141,0.022951404725,0.0174561875,0.0306027575
"67","Gaza Strip","conflict","23","f",55,582.045216835882,438.731059741471,782.373825022616,27282.4756544445,0.0213340323,0.0160810575,0.02867679
"68","Gaza Strip","conflict","23","f",60,659.28067128366,497.173643201466,879.17556286929,20598.9697152355,0.0320055168,0.02413585,0.04268056
"69","Gaza Strip","conflict","23","f",65,442.133833911687,329.886136060336,595.318059354512,14318.8229710804,0.030877805725,0.023038635,0.0415759075
"70","Gaza Strip","conflict","23","f",70,199.338459275376,138.560616274732,280.935015663659,10371.9965031146,0.019218909225,0.0133591075,0.027085915
